,company_name,company_number,company_status,company_type,date_of_cessation,country,date_of_creation,address_line_1,locality,postal_code,address_line_2,region,country,SICCODE_0,Value,date_of_creation_month,date_of_cessation_month
133,STOKER LEISURE LIMITED,7847078,dissolved,ltd,2016-05-01,England,2011-11-14,15 Olive Street,Sunderland,SR1 3PE,0,0,England,56302,True,11,05
134,BRIGHTSTAR LEISURE LTD,7847659,dissolved,ltd,2016-12-07,0,2011-11-15,Abertawe House Ystrad Road,Swansea,SA5 4JB,Fforestfach,0,0,56302,True,11,12
135,CROSS KEYS (PONTEFRACT) LIMITED,7847852,dissolved,ltd,2016-07-06,0,2011-11-15,Innscribe Uk,Bradford,BD1 4AB,14 Mill Street,West Yorkshire,0,56302,True,11,07
136,THE WHEEL INN (U.K) LIMITED,7848262,dissolved,ltd,2017-12-12,0,2011-11-15,81 Roseneath Avenue,Leicester,LE4 7GU,0,0,0,56302,True,11,12
137,YOURTUBEZ LIMITED,7850473,dissolved,ltd,2020-01-14,0,2011-11-16,10 Hanover Street,Bromsgrove,B61 7JH,0,Worcestershire,0,56302,True,11,01
138,INVITING INNS LIMITED,7852698,dissolved,ltd,2015-01-09,0,2011-11-18,The King George Moss Lane,Altrincham,WA15 8BA,Hale,Cheshire,0,56302,True,11,01
139,ANCIENT & IMPERIAL PUB COMPANY LIMITED,7850053,dissolved,ltd,2019-04-16,0,2011-11-16,Reedham House,Manchester,M3 2PJ,31 King Street West,Lancashire,0,56302,True,11,04
140,CHIPPENHAM LEISURE LTD,7850977,dissolved,ltd,2014-12-23,England,2011-11-17,22 Market Place,Chippenham,SN15 3HW,0,0,England,56302,True,11,12
141,H & H TAVERN LTD,7855248,dissolved,ltd,2017-09-26,0,2011-11-21,157 Waterloo Road,Wokingham,RG40 2JN,0,Berkshire,0,56302,True,11,09
142,PAC MAC LTD,7856494,dissolved,ltd,2015-03-03,0,2011-11-22,The Brick Kiln Public House Norwich Road,Norwich,NR13 5JH,Little Plumstead,Norfolk,0,56302,True,11,03
143,RIDGE AND FURROW INNS LTD,7856573,dissolved,ltd,2019-01-07,0,2011-11-22,WILSON FIELD LTD,Sheffield,S11 9PS,The Manor House 260 Ecclesall Road South,0,0,56302,True,11,01
144,BOOTH LEISURE LTD,7854700,dissolved,ltd,2020-05-11,0,2011-11-21,Bulman House Regent Centre,Newcastle Upon Tyne,NE3 3LS,Gosforth,0,0,56302,True,11,05
145,THE TALBOT INN GRETTON LTD,7855555,dissolved,ltd,2015-06-16,0,2011-11-21,Federation House,Kettering,NN16 8JS,36/38 Rockingham Road,Northants,0,56302,True,11,06
146,HILLARY AND SCOTT LIMITED,7856681,active,ltd,1970-01-01,England,2011-11-22,Four Alls York House,Market Drayton,TF9 2AG,Woodseaves,0,England,56302,True,11,01
